environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
260,0.029364,0.111701,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00984607,0.00387386,0.00101104
261,0.0293326,0.111659,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00984094,0.00387209,0.00101058
262,0.0293015,0.111616,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00983584,0.00387032,0.00101013
263,0.0292706,0.111574,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00983074,0.00386857,0.00100968
264,0.0292399,0.111532,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00982566,0.00386682,0.00100923
265,0.0292093,0.111491,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0098206,0.00386508,0.00100879
266,0.029179,0.111449,0.47072,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00981554,0.00386334,0.00100835
267,0.0291489,0.111408,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00981051,0.00386162,0.00100792
268,0.029119,0.111367,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00980549,0.00385989,0.00100749
269,0.0290893,0.111326,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00980048,0.00385818,0.00100707
270,0.0290598,0.111286,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00979548,0.00385647,0.00100665
271,0.0290305,0.111245,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0097905,0.00385477,0.00100624
272,0.0290014,0.111205,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00978553,0.00385308,0.00100582
273,0.0289725,0.111165,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00978058,0.00385139,0.00100542
274,0.0289438,0.111125,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00977564,0.0038497,0.00100501
275,0.0289152,0.111085,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00977071,0.00384802,0.00100462
276,0.0288868,0.111046,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00976579,0.00384635,0.00100422
277,0.0288587,0.111006,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00976089,0.00384468,0.00100383
278,0.0288307,0.110967,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.009756,0.00384302,0.00100344
279,0.0288029,0.110928,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.00975112,0.00384137,0.00100306
