environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
256,0.0396814,0.117672,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0213579,0.0110888,0.00337047
257,0.0396568,0.117547,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0213414,0.011075,0.00336746
258,0.0396322,0.117422,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0213249,0.0110612,0.00336448
259,0.0396076,0.117298,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0213083,0.0110475,0.00336151
260,0.039583,0.117174,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0212917,0.0110338,0.00335857
261,0.0395585,0.11705,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0212751,0.0110202,0.00335565
262,0.0395341,0.116926,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0212585,0.0110066,0.00335275
263,0.0395097,0.116803,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0212419,0.010993,0.00334987
264,0.0394853,0.11668,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0212253,0.0109795,0.00334701
265,0.0394609,0.116557,0.470719,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0212086,0.010966,0.00334417
